datetime,queue,queue_utilization,queue_fullness,queue_efficiency
2022-05-16 01:00:00.000000,AGLT2,0.0829,1.125,1
2022-05-16 02:00:00.000000,AGLT2,0.3091,2.4286,1
2022-05-16 03:00:00.000000,AGLT2,0.875,1.3125,0.9792
2022-05-16 04:00:00.000000,AGLT2,1.1408,1.3729,0.9437
2022-05-16 05:00:00.000000,AGLT2,0.9855,1,0.1739
2022-05-16 06:00:00.000000,AGLT2,0.8491,1.0976,0.5283
2022-05-16 07:00:00.000000,AGLT2,2.125,2.4286,1
2022-05-16 08:00:00.000000,AGLT2,0.628,1.4239,0.9971
2022-05-16 09:00:00.000000,AGLT2,2.4427,1.5039,0.9936
2022-05-16 10:00:00.000000,AGLT2,2.917,1.0872,0.9925
2022-05-16 11:00:00.000000,AGLT2,0.4468,1.6705,0.8343
2022-05-16 12:00:00.000000,AGLT2,1.4514,1.6276,0.3468
2022-05-16 13:00:00.000000,AGLT2,2.2539,1.3617,0.4451
2022-05-16 14:00:00.000000,AGLT2,1.1174,1.3817,0.6152
2022-05-16 15:00:00.000000,AGLT2,1.362,2.1089,0.9896
2022-05-16 16:00:00.000000,AGLT2,1.7018,1.3295,0.8945
2022-05-16 17:00:00.000000,AGLT2,3.1261,1.6986,0.9748
2022-05-16 18:00:00.000000,AGLT2,6.0841,2.1205,0.9159
2022-05-16 19:00:00.000000,AGLT2,11.5393,3.964,0.9895
2022-05-16 20:00:00.000000,AGLT2,1.2579,7.4074,0.9748
2022-05-16 21:00:00.000000,AGLT2,0.0533,1.3333,0.4152
2022-05-16 22:00:00.000000,AGLT2,0.092,1,0.916
2022-05-16 23:00:00.000000,AGLT2,5.1962,1.8892,0.9924
2022-05-17 00:00:00.000000,AGLT2,8.7293,1.6729,0.9699
2022-05-17 01:00:00.000000,AGLT2,18.2372,2.4675,0.8269
2022-05-17 02:00:00.000000,AGLT2,1.9185,1.1519,0.9599
2022-05-17 03:00:00.000000,AGLT2,3.2091,1.3542,0.8909
2022-05-17 04:00:00.000000,AGLT2,1.9227,1.4282,0.9694
2022-05-17 05:00:00.000000,AGLT2,2.0415,5.1789,0.9751
2022-05-17 06:00:00.000000,AGLT2,2.5425,2.7594,0.5047
2022-05-17 07:00:00.000000,AGLT2,16.6818,3.1168,0.9432
2022-05-17 08:00:00.000000,AGLT2,1.4992,1.5261,0.9888
2022-05-17 09:00:00.000000,AGLT2,0.7623,1.1803,0.9877
2022-05-17 10:00:00.000000,AGLT2,0.5251,13.0833,0.9967
2022-05-17 14:00:00.000000,AGLT2,4.6843,1.3073,0.5808
2022-05-17 11:00:00.000000,AGLT2,26.4872,1033,0.8718
2022-05-17 12:00:00.000000,AGLT2,10.125,189,0.8661
2022-05-17 13:00:00.000000,AGLT2,19.4913,64.971,0.9609
2022-06-10 14:00:00.000000,AGLT2,0.2256,1.2683,0.9588
2022-05-17 20:00:00.000000,AGLT2,4.4077,458.4,0.7712
2022-05-17 21:00:00.000000,AGLT2,0.7058,63.4545,0.9939
2022-05-17 22:00:00.000000,AGLT2,0.2023,23.3529,0.9862
2022-05-18 01:00:00.000000,AGLT2,1.0563,1.3015,0.409
2022-05-17 23:00:00.000000,AGLT2,0.9673,39.4,0.9935
